,age,fnlwgt,education,educational-num,marital-status,occupation,relationship,capital-gain,capital-loss,hours-per-week,native-country,income,Amer-Indian-Eskimo,Asian-Pac-Islander,Black,Other,White,Female,Male,?,Federal-gov,Local-gov,Never-worked,Private,Self-emp-inc,Self-emp-not-inc,State-gov,Without-pay
26129,59,221336,10th,6,Widowed,Other-service,Other-relative,0,0,40,Philippines,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
40053,67,181220,Some-college,10,Divorced,Adm-clerical,Not-in-family,0,0,20,United-States,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
30248,50,169925,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,15,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
42156,62,115387,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,0,0,40,United-States,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
358,32,149573,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,0,0,40,United-States,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
30947,21,351084,HS-grad,9,Never-married,Adm-clerical,Not-in-family,0,0,40,United-States,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
48589,37,377798,Some-college,10,Married-civ-spouse,Craft-repair,Husband,3103,0,40,United-States,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
3710,34,247540,HS-grad,9,Never-married,Farming-fishing,Not-in-family,0,1974,30,United-States,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
40056,31,219883,HS-grad,9,Never-married,Protective-serv,Not-in-family,0,0,40,United-States,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
17171,48,144397,Some-college,10,Divorced,?,Unmarried,0,0,30,United-States,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
996,59,662460,10th,6,Widowed,Prof-specialty,Unmarried,0,0,15,United-States,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
6710,68,192656,Some-college,10,Widowed,Craft-repair,Not-in-family,0,0,10,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
6663,34,163581,HS-grad,9,Never-married,Other-service,Not-in-family,10520,0,40,Puerto-Rico,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
26057,36,41490,Some-college,10,Divorced,Adm-clerical,Unmarried,0,0,40,United-States,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
4912,55,200448,Some-college,10,Divorced,Adm-clerical,Not-in-family,0,0,40,United-States,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
26508,34,117503,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,0,0,20,Italy,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
15054,50,155434,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,0,0,40,United-States,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
9836,23,126540,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,0,0,40,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
13998,41,187336,HS-grad,9,Divorced,Exec-managerial,Not-in-family,0,0,40,United-States,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
43745,35,186845,Bachelors,13,Married-civ-spouse,Sales,Own-child,5178,0,50,United-States,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
23395,39,165799,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,0,0,40,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
36792,36,41624,10th,6,Married-civ-spouse,Craft-repair,Husband,0,0,70,Mexico,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
42504,46,171228,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,3411,0,35,Guatemala,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
16972,24,140027,Some-college,10,Never-married,Machine-op-inspct,Own-child,0,0,45,United-States,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
40786,70,205860,Masters,14,Married-civ-spouse,Exec-managerial,Husband,0,0,40,United-States,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
26141,20,144685,Some-college,10,Never-married,?,Own-child,0,1602,40,Taiwan,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
14251,52,215656,HS-grad,9,Married-civ-spouse,Sales,Wife,0,0,60,United-States,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
23012,28,30070,Bachelors,13,Married-civ-spouse,Sales,Husband,0,0,50,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
19083,35,190895,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,0,0,60,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
38702,31,121055,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,70,United-States,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
11168,41,97279,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,0,0,50,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
18037,47,162924,Bachelors,13,Divorced,Exec-managerial,Not-in-family,0,0,60,Japan,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
29787,30,327112,Bachelors,13,Divorced,Sales,Not-in-family,0,1564,40,United-States,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
34970,32,177794,Masters,14,Never-married,Prof-specialty,Not-in-family,0,0,40,United-States,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
